States
Ed
M3f
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3f
M3f
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3f
De
H
H
H
H
H
H
H
H
R
R
H
R
H
H
H
H
H
H
H
R
H
M3f
H
H
H
R
R
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3i
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
H
R
H
H
H
H
H
H
H
M3f
H
H
H
H
H
H
H
R
H
M3f
H
H
H
H
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
R
H
H
De
R
H
H
H
R
H
H
H
R
R
H
H
H
H
H
H
H
R
R
H
R
H
R
R
C
H
R
R
R
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
R
R
CpuM
RiM
TeM
CpuM
RiM
TeM
CpuM
RiM
TeM
CpuM
RiM
TeM
CpuM
RiM
TeM
CpuM
TeM
CpuM
R
CpuM
RiM
TeM
R
C
R
Te
R
Dc
Di
Di
Di
Di
Di
H
R
Te
R
De
H
H
H
H
H
H
H
H
M3f
H
H
H
H
H
H
H
M3i
H
H
H
M3i
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3i
M3i
H
H
H
H
H
H
H
H
M3i
H
H
H
H
H
H
M3i
De
H
H
H
H
H
H
H
H
H
H
H
H
M3i
H
H
M3i
H
H
H
H
H
H
R
H
M3i
H
H
H
H
R
H
M3i
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3i
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
H
M3f
H
H
H
H
H
H
M3f
H
H
H
H
H
H
H
H
H
M3f
H
H
H
H
H
H
H
M3f
H
De
H
R
R
H
H
R
H
H
R
C
H
R
R
H
H
H
H
R
R
H
H
H
H
H
R
R
R
H
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
R
H
H
H
H
H
M3i
H
H
H
H
H
H
M3i
H
H
H
De
H
H
H
H
H
H
H
H
H
H
H
H
M3i
H
H
M3i
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
M3i
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3i
H
H
H
H
H
R
H
H
De
H
H
H
H
H
H
H
M3i
H
H
H
H
H
H
H
M3i
M3i
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3i
H
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
R
R
M3i
H
H
H
H
R
R
M3i
H
H
H
H
H
C
R
R
H
H
H
H
H
R
R
H
De
R
R
H
H
R
R
R
H
H
R
R
R
R
R
R
H
H
H
H
H
H
H
R
R
De
H
H
H
H
H
H
R
R
H
H
H
H
R
R
M3f
H
H
H
H
H
H
H
R
H
M3i
H
H
H
R
H
M3i
De
H
H
H
H
H
H
R
H
M3i
H
H
H
H
R
R
M3i
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
H
H
R
H
M3f
R
H
M3f
H
H
H
H
H
C
H
H
M3f
H
H
H
C
R
H
M3f
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
M3i
H
H
H
M3i
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
R
H
H
H
H
H
H
H
M3i
H
H
H
H
H
M3i
De
M3f
H
H
H
H
H
H
H
H
H
H
H
R
H
H
H
H
M3f
H
R
R
H
H
H
H
H
H
H
H
H
H
Te
R
H
M3f
M3i
H
De
H
H
H
H
H
H
H
H
M3f
H
H
H
H
H
H
M3f
H
H
H
H
R
H
H
H
H
M3f
H
H
H
H
H
M3f
De
H
H
H
H
H
H
H
R
H
H
H
H
H
R
R
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
R
H
H
H
H
H
H
H
C
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
R
H
H
H
C
R
R
R
H
H
H
H
H
H
H
H
H
H
H
R
R
De
R
R
P
CpuM
RiM
TeM
P
P
P
P
CpuM
RiM
TeM
CpuM
Te
Dc
CpuM
RiM
TeM
R
Te
R
R
R
H
C
C
H
H
C
Te
R
C
R
Te
R
De
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
H
De
H
H
H
H
H
H
H
R
R
H
H
H
Te
R
R
R
H
H
H
H
H
H
H
R
R
C
R
R
R
R
Te
R
De
R
C
R
Me
H
H
H
H
H
H
H
H
R
H
R
H
R
R
H
H
R
R
H
H
H
H
H
H
R
H
H
R
R
H
Im
Cp
De
R
C
R
C
R
H
R
R
C
R
R
R
C
R
H
R
R
R
H
H
H
R
CpuM
RiM
TeM
R
R
H
H
H
R
Te
R
R
P
De
Te
Ri
Te
Ri
